name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,link
House and 2 Apartments For Sale - Montaña,Noord,For Sale,,,"USD 421,348 ",,,,https://www.casnan.com/listing/aruba/house-and-2-apartments-for-sale-montana/6273
House For Sale - Piedra Plat,Paradera,For Sale,,,"USD 412,922 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-piedra-plat/6243
House and 2 Apartments - Noord,Noord,For Sale,,,"USD 412,922 ",,,,https://www.casnan.com/listing/aruba/house-and-2-apartments-noord/6305
"Two houses along the main street, excellent commercial opportunity(Tanki Leendert)",Tanki Leendert,For Sale,,,"USD 400,000 ",,,,https://www.casnan.com/listing/aruba/two-houses-along-the-main-street-excellent-commercial-opportunitytanki-leendert/6314
"Two houses along the main street, excellent commercial opportunity(Tanki Leendert)",Tanki Leendert,For Sale,,,"USD 400,000 ",,,,https://www.casnan.com/properties?listing_type_id=2&order=price%7CDESC&filter=1&page=1
House and Apartment FOR SALE - Tanki Leendert,Tanki Leendert,For Sale,,,"USD 400,000 ",,,,https://www.casnan.com/listing/aruba/house-and-apartment-for-sale-tanki-leendert/5957
Warehouse For Sale -Tomatenstraat/Olijfstraat,Oranjestad,For Sale,,,"USD 398,090 ",,,,https://www.casnan.com/listing/aruba/warehouse-for-sale-tomatenstraatolijfstraat/6201
Land For Sale - Eekhoutstraat,Oranjestad,For Sale,,,"USD 396,068 ",,,,https://www.casnan.com/listing/aruba/land-for-sale-eekhoutstraat/5786
Commercial Property and 3 Apartments FOR SALE - Seroe Blanco,Oranjestad,For Sale,,,"USD 382,023 ",,,,https://www.casnan.com/listing/aruba/commercial-property-and-3-apartments-for-sale-seroe-blanco/6055
Newly constructed House For Sale - Cumana,Oranjestad,For Sale,,,"USD 382,022 ",,,,https://www.casnan.com/listing/aruba/newly-constructed-house-for-sale-cumana/6262
Commercial building in the mainstreet of Oranjestad(Caya G.F. Betico Croes 107),Oranjestad,For Sale,,,"USD 365,169 ",,,,https://www.casnan.com/listing/aruba/commercial-building-in-the-mainstreet-of-oranjestadcaya-gf-betico-croes-107/3625
Property FOR SALE - Tanki Leendert,Tanki Leendert,For Sale,,,"USD 365,169 ",,,,https://www.casnan.com/listing/aruba/property-for-sale-tanki-leendert/6253
House For Sale - Paradera,Paradera,For Sale,,,"USD 361,798 ",,,,https://www.casnan.com/listing/aruba/house-for-sale-paradera/6292
Two Story House FOR SALE - Wayaca,Oranjestad,For Sale,,,"USD 350,000 ",,,,https://www.casnan.com/listing/aruba/two-story-house-for-sale-wayaca/6282
5 Bedroom Villa For Sale - Ponton,Noord,For Sale,,,"USD 349,000 ",,,,https://www.casnan.com/listing/aruba/5-bedroom-villa-for-sale-ponton/6248
Two storey house with ocean view(Babijn 20-D),Paradera,For Sale,,,"USD 334,270 ",,,,https://www.casnan.com/listing/aruba/two-storey-house-with-ocean-viewbabijn-20-d/6231
