name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Barcadera 4 - Commercial/Storage Space,Oranjestad,,,"3,200",0,0,No,12.485238441244812,"-69.99485477449952
        ",https://remaxaruba.com/property/details/barcadera-4-commercialstorage-space-from-375-m2-to-875-m2
Plaza Daniel Leo Square - Apartment D,Malmok,New Listing,Apartment for Rent,"3,200",2,2,No,12.598931260440065,"-70.04021629335938
        ",https://remaxaruba.com/property/details/Plaza-DanielleoAptD
De La Sallestraat 20,Oranjestad,New Listing,Commercial for Rent,"3,160",0,0,No,12.523331018728202,"-70.0303833151108
        ",https://remaxaruba.com/property/details/de-la-sallestraat-20
Office Space Frankrijkstraat,Oranjestad,Reduced,Commercial for Rent,"3,000",0,0,No,12.531447910339052,"-70.04823609831391
        ",https://remaxaruba.com/property/details/office-space-rent-frankrijkstraat
Aruba Breeze A6,Eagle Beach,New Listing,Condominium for Rent,"2,900",2,2,Yes,12.546196433646577,"-70.0551508331543
        ",https://remaxaruba.com/property/details/aruba-breeze-a6
Seroe Blanco 78 v,Oranjestad,Rented,Residential for Rent,"2,800",4,3,No,12.52638142892926,"-70.02094730379639
        ",https://remaxaruba.com/property/details/sero-blanco-78-v
Rented - Washington Gardens 49 P,Noord,Rented,Residential for Rent,"2,800",3,2,Yes,12.559517292208506,"-70.03785594942627
        ",https://remaxaruba.com/property/details/washington-gardens-49-p
2 Bedroom Condo near Eagle Beach,Eagle Beach,,,"2,750",2,2,Yes,12.544656950361045,"-70.05662068369446
        ",https://remaxaruba.com/property/details/Pearly-apartment
Gold Coast Diamante 194 C,Malmok,New Listing,Condominium for Rent,"2,700",2,2,No,12.598931260440065,"-70.04021629335938
        ",https://remaxaruba.com/property/details/gold-coast-diamante-194-c
RENTED - Uruguay Straat 1,Oranjestad,Rented,Residential for Rent,"2,400",3,3,No,12.526004384472074,"-70.03837093355713
        ",https://remaxaruba.com/property/details/uruguay-straat-1-apartment-2
RENTED - Keito 7 Q,Eagle Beach,Rented,Residential for Rent,"2,400",3,2,No,12.56353854792497,"-70.03948673250733
        ",https://remaxaruba.com/property/details/keito-7-q
Primavera 21,Oranjestad,Rented,Residential for Rent,"2,303",3,2,Yes,12.510450820440385,"-70.00684424879609
        ",https://remaxaruba.com/property/details/primavera-21
Calbas 5 *RENTED*,Noord,Rented,Residential for Rent,"2,250",3,2,No,12.559883815516386,"-70.01028284075318
        ",https://remaxaruba.com/property/details/calbas-5
Napa Valley 62,Noord,Rented,Residential for Rent,"2,191",3,2,Yes,12.549801616135015,"-70.03215625526963
        ",https://remaxaruba.com/property/details/napa-valley-62
