name,location,property,price,bedrooms,bathrooms,Pool,link
Property land Modanza,Tanki Leendert,New Listing,802.466,0,0,,https://kw-aruba.com//listings/property-land-modanza
Tierra del Sol - La Colina 19,Malmok,Sold,750.000,0,0,,https://kw-aruba.com//listings/la-colina-19
Alto Vista Property Land 14.000 m2,Noord,Reduced in price,707.865,0,0,,https://kw-aruba.com//listings/alto-vista-property-land-14000-m2
Commercial land at Palm Beach,Palm Beach,,438.202,0,0,,https://kw-aruba.com//listings/palm-beach-land
Catalina Estates,Malmok,New Listing,425.000,0,0,,https://kw-aruba.com//listings/catalina-estates
Santa Lucia 10.500m2 property land,Santa Cruz,New Listing,383.426,0,0,,https://kw-aruba.com//listings/santa-lucia-10500m2-property-land-2
Santa Lucia 7998 m2 property land,Santa Cruz,New Listing,292.061,0,0,,https://kw-aruba.com//listings/santa-lucia-7998-m2-property-land
Private land at Sero di Turibana Lot 8,Noord,Sold,232.800,0,0,,https://kw-aruba.com//listings/sero-di-turibana
Rooi Santo Noord,Noord,New Listing,224.000,0,0,,https://kw-aruba.com//listings/rooi-santo-noord
4239M2 Property Land Coba Lodo,Santa Cruz,New Listing,222.983,0,0,,https://kw-aruba.com//listings/4239m2-property-land-coba-lodo
Bringamosa 2228 Property land,Santa Cruz,,200.269,0,0,,https://kw-aruba.com//listings/bringamosa-2228-property-land
Property land Bringamosa 2027m2,Santa Cruz,,182.202,0,0,,https://kw-aruba.com//listings/property-land-bringamosa
Ayo Property Land 1712m2 - Plot 1,Ayo,Sold,168.314,0,0,,https://kw-aruba.com//listings/ayo-property-land-1712m2-plot-1
Property land Bubali #2,Eagle Beach,Sold,163.530,0,0,,https://kw-aruba.com//listings/property-land-bubali-2
Seroe Blanco Property Land,Oranjestad,New Listing,151.109,0,0,,https://kw-aruba.com//listings/seroe-blanco-property-land
Kurimiauw lot D950,Noord,Under contract,150.200,2,2,,https://kw-aruba.com//listings/kurimiauw-lot-d950
Ayo Property Land 1262m2 - Plot 2,Ayo,Sold,141.088,0,0,,https://kw-aruba.com//listings/ayo-property-land-1262m2-plot-2
Property land Bubali #1,Eagle Beach,Sold,132.000,0,0,,https://kw-aruba.com//listings/property-land-bubali
San Fuego property Lot 3,Santa Cruz,Under contract,105.600,0,0,,https://kw-aruba.com//listings/san-fuego-property-lot-3
Ayo 1315m2,Ayo,Sold,103.933,0,0,,https://kw-aruba.com//listings/ayo-1215m2
Land Matadera Noord Aruba,Noord,,100.724,0,0,,https://kw-aruba.com//listings/land-matadera-noord-aruba
